retail_va	demo_va	current_name	mapping_basis	body_normalized_equal	body_bytes	instruction_count	raw_equal	raw_diff_bytes	retail_normalized_sha256
0x0053bc40	0x0053c260	HYP__ZeroDwords3_0089c958	BRACKETED_CONSTANT_DELTA	true	31	4	false	6	6dc5fd2d5ba0f07e273628e3c451d85565835b00d485a1e481735614b96ab582
0x0053bc60	0x0053c280	HYP__InitIdentityMat_0089c928	BRACKETED_CONSTANT_DELTA	true	195	36	false	24	65f64a200746babbe5e95dab9f71b7c42a5302106bb4ac606ea420f72eb14b17
0x0053bd30	0x0053c350	HYP__DynInit29_0053bd50	BRACKETED_CONSTANT_DELTA	true	29	8	false	9	e909baafbd48054f40825453b1c80bf7f76d6dfa005388fa994770bc7785ee16
0x0053bd50	0x0053c370	HYP__JmpThunk_004530a0_0053bd50	BRACKETED_CONSTANT_DELTA	true	10	2	false	6	ca34c0ed9d479badab9000276bbae84bbbea38ee18333947c45c888d68010f22
0x0053bd60	0x0053c380	CDXCompass__InitFields	BRACKETED_CONSTANT_DELTA	true	57	17	false	2	304534179581ad6408f7b970f2ec855b68173fb3e4fe7ebb9cb535ce0a0c0474
0x0053bda0	0x0053c3c0	CDXCompass__ReleaseDynamicResources	BRACKETED_CONSTANT_DELTA	true	148	51	false	9	c170a22477836393b09c20627a5501278050f033594af72e4ebb93b38172d094
0x0053be40	0x0053c460	CDXCompass__Init	BRACKETED_CONSTANT_DELTA	true	902	265	false	121	8d52bdb4d41893eab59320620c0e10893fda7d5c2c754bf4734da323bf71691c
0x0053c1d0	0x0053c7f0	CDXCompass__BuildRingGeometry	BRACKETED_CONSTANT_DELTA	true	260	85	false	8	0207428c7950a664d66a740ab258afaed82f5ca4978372dbea148621ecf421ac
0x0053c2e0	0x0053c900	CDXCompass__BuildByteSpriteOverlayTexture	BRACKETED_CONSTANT_DELTA	true	560	174	false	28	0bee0042ae77e7ffeccb6d97dea55e0fa579822b87318f1740680d9d67c76569
0x0053c510	0x0053cb30	CDXCompass__UpdateDynamicOverlayTexture	BRACKETED_CONSTANT_DELTA	true	2068	608	false	64	2109c6a3291f85646d48441ec79d81caa36cd19ae60a8f431ade5b195f5412f2
0x0053cd30	0x0053d350	CDXCompass__RenderWorldSpaceOverlay	BRACKETED_CONSTANT_DELTA	true	1250	332	false	149	d7ad2efd8a152997ad10cb32664bcb7f65a7f67288bffbf7ea4f5944a3bdeb4b
0x0053d220	0x0053d840	HYP__ZeroDwords3_0089d670	BRACKETED_CONSTANT_DELTA	true	31	4	false	6	6dc5fd2d5ba0f07e273628e3c451d85565835b00d485a1e481735614b96ab582
0x0053d240	0x0053d860	HYP__InitIdentityMat_0089d640	BRACKETED_CONSTANT_DELTA	true	195	36	false	24	65f64a200746babbe5e95dab9f71b7c42a5302106bb4ac606ea420f72eb14b17
0x0053d310	0x0053d930	HYP__DynInit29_0053d330	BRACKETED_CONSTANT_DELTA	true	29	8	false	9	e909baafbd48054f40825453b1c80bf7f76d6dfa005388fa994770bc7785ee16
0x0053d330	0x0053d950	HYP__JmpThunk_004530a0_0053d330	BRACKETED_CONSTANT_DELTA	true	10	2	false	6	ca34c0ed9d479badab9000276bbae84bbbea38ee18333947c45c888d68010f22
0x0053d340	0x0053d960	HYP__FirstCall_CEngine__ctor_0053d340	BRACKETED_CONSTANT_DELTA	true	66	14	false	22	3425a1ca703b167bf0df69cbf4952821dfe5b558d9db517fcca5c06e48f388ea
0x0053d390	0x0053d9b0	HYP__StoreDword1_0089c9a0	BRACKETED_CONSTANT_DELTA	true	11	2	false	3	2f22cc3bc6afd14f2a4f553e5a1cf0981f4f5c09721a4973210fe81fd6406d48
0x0053d3a0	0x0053d9c0	HYP__CDXEngine__ReleaseDefaultTextureAndMeshRefs	BRACKETED_CONSTANT_DELTA	true	60	17	false	2	f7959b29f9d4d61df12fbcc003062ca2228686da799dfee6712aee7d0668276c
0x0053d3e0	0x0053da00	HYP__CDXEngine__Shutdown	RTTI_VTABLE_ANCHOR	true	149	42	false	13	fbc8e897c8acc35f9b5d7cafd8fe18ee09824a4de13434f95e820f8be771656e
0x0053d480	0x0053daa0	HYP__StrRef_006504d4	BRACKETED_CONSTANT_DELTA	true	63	19	false	12	7d1182140d09ddac2877f46e35b3c8874a9973ccb0e03841129a383204d40e8f
