address	currentName	bodyBytes	bodySha256	disposition	stableObjectBasename	v24Objects	v25Objects	v26Objects	v27Objects	v28Objects	v29Objects	v30Objects	v31Objects
0x00579ca5	CDXTexture__InitSurfaceNodeZeroed	25	91d575f4e66a5c992cdaf7252fc3fa94468e417dbebf95eba8b7aaa443a19e01	STABLE_SINGLE_OBJECT_ALL_EIGHT	cimage.obj	cimage.obj	cimage.obj	cimage.obj	cimage.obj	cimage.obj	cimage.obj	cimage.obj	cimage.obj
0x0057cc5d	CDXTexture__ReleaseSurfacePairIfPresent	30	490462f49bec76045c54a52d00415babc04af83cd506f9f950e41eca7cc25dd4	STABLE_SINGLE_OBJECT_ALL_EIGHT	cblt.obj	cblt.obj	cblt.obj	cblt.obj	cblt.obj	cblt.obj	cblt.obj	cblt.obj	cblt.obj
0x0057d0ee	CWaypointManager__BoxBlurPackedColorRows_Scalar	296	f566891f5d872c2c3beb6ad0ae8df2e213de01f78fd64fc1519240752998daff	STABLE_SINGLE_OBJECT_ALL_EIGHT	cblt.obj	cblt.obj	cblt.obj	cblt.obj	cblt.obj	cblt.obj	cblt.obj	cblt.obj	cblt.obj
0x0057d244	CDXTexture__Downsample2x2Average32	234	d0f7d271711af4cb0e7b5fe0da2f62dc9b55c8a487dac13bca2afca5fc16be11	STABLE_SINGLE_OBJECT_ALL_EIGHT	cblt.obj	cblt.obj	cblt.obj	cblt.obj	cblt.obj	cblt.obj	cblt.obj	cblt.obj	cblt.obj
0x0058083d	CDXTexture__ResetSurfaceCopyContext	19	df085915f81692d40fd97e34a69afbbdb1d8bfe37edbd265a3a3d570a33898d7	STABLE_SINGLE_OBJECT_ALL_EIGHT	clock.obj	clock.obj	clock.obj	clock.obj	clock.obj	clock.obj	clock.obj	clock.obj	clock.obj
0x00580850	CDXTexture__CopyLockedRectPitchAware	221	c1b738b69fd4ff10eaffe53835bfeb6d413f959c944fddbfbf00d72ea34bbd8b	STABLE_SINGLE_OBJECT_ALL_EIGHT	clock.obj	clock.obj	clock.obj	clock.obj	clock.obj	clock.obj	clock.obj	clock.obj	clock.obj
0x005809de	CFastVB__ShutdownActiveProfile	34	81ad421bfa6da10e599f16b5df2720a3e83eb2d81dc048224218e7463c5f6cce	STABLE_SINGLE_OBJECT_ALL_EIGHT	clock.obj	clock.obj	clock.obj	clock.obj	clock.obj	clock.obj	clock.obj	clock.obj	clock.obj
0x0058864a	CDXTexture__InitMappedFileContext	18	ca95e85bbebf5f6c299da550f2aa9e1808a894f39f08843b741b70f309097f61	STABLE_SINGLE_OBJECT_ALL_EIGHT	cfile.obj	cfile.obj	cfile.obj	cfile.obj	cfile.obj	cfile.obj	cfile.obj	cfile.obj	cfile.obj
0x00588cc6	CDXTexture__ProjectPointToPlaneAndScale	157	db559c4904b7d5890a4d75111cf66bb9e0bf735943aae5b9ca3c2d65807a1730	VERSION_DEPENDENT_OBJECT_ALL_EIGHT	<NONE>	psgpmesh.obj	psgpmesh.obj	btri.obj	btri.obj	btri.obj	psgpmesh.obj	psgpmesh.obj	btri.obj
0x0058c129	CTexture__TokenList_InitState	32	ae5591376f7734a0ebd96498be1a688c86d335c6bf95f51ebc66e74e0c2da336	STABLE_SINGLE_OBJECT_ALL_EIGHT	ctokenize.obj	ctokenize.obj	ctokenize.obj	ctokenize.obj	ctokenize.obj	ctokenize.obj	ctokenize.obj	ctokenize.obj	ctokenize.obj
