# Ghidra function-name table -- address -> current saved symbol
# Purpose : the resolution authority for tools/re_function_doc_names_check.py.
#           It is a name index, not a database and not a disassembly.
# Derived : live maintainer Ghidra project (C:\Users\david\Ghidra\Projects), exported headless by
#           tools/ExportFullFunctionInventory.java on 2026-07-27 17:49 local, after
#           the 580-creation / AIF / DPI mutation waves, the 533-name vtable naming
#           wave, and both destructor demotions (0x0048c300, 0x005386d0).
# Specimen: BEA.exe MD5 3b456964020070efe696d2cc09464a55,
#           SHA-256 74154bfae14ddc8ecb87a0766f5bc381c7b7f1ab334ed7a753040eda1e1e7750
# Source  : local-lab/re-ledger/naming-wave-2026-07-27/inv-LIVE2-functions.tsv
#           sha256 2f9d352eaec3005d1827660f86403d25e45b67158eeba1b98363565a30811228
#           (gitignored; this file is the promoted 4-column projection of it)
# Reproduced: an independent export of the same database (inv-LIVE1-functions.tsv)
#           agrees with it on all 7555 names, 0 differences.
# DATED PROJECTION: reverse-engineering/ghidra/ was promoted from the 8,125-function
#           live project on 2026-08-09. This 7,555-row table remains the historical
#           2026-07-27 name index used by its owning documentation check; it is no
#           longer a current database projection.
# Columns : address, name, bodyMin, bodyMax (hex). 67 functions have
#           non-contiguous bodies, so bodyMin..bodyMax over-covers for those;
#           6 of the 7555 spans overlap their predecessor.
# text_range: 0x00401000-0x005d7fff
address	name	bodyMin	bodyMax
0x00409f70	CBattleEngine__ChangeWeapon	0x00409f70	0x0040a554
0x0040a560	CBattleEngine__VFunc_101_0040a560	0x0040a560	0x0040a57f
0x0040a580	CBattleEngine__Morph	0x0040a580	0x0040a880
0x0040a890	CBattleEngine__VFunc_40_0040a890	0x0040a890	0x0040ac24
0x0040ac30	FUN_0040ac30	0x0040ac30	0x0040ac40
0x0040ac50	CBattleEngine__Rearm	0x0040ac50	0x0040acb1
0x0040acc0	CBattleEngine__CalcUnitOverCrossHair	0x0040acc0	0x0040b0f8
0x0040b100	CGeneralVolume__ctor_base	0x0040b100	0x0040b113
0x0040b120	CBattleEngine__UpdateAutoAim	0x0040b120	0x0040b651
0x0040b660	AngleDifference	0x0040b660	0x0040b6ca
0x0040b6d0	CBattleEngine__HandleAutoAim	0x0040b6d0	0x0040bfc1
0x0040bfd0	CBattleEngine__StartDieProcess	0x0040bfd0	0x0040c17b
0x0040c180	CBattleEngine__HandleEvent	0x0040c180	0x0040c2dd
0x0040c2e0	CBattleEngine__CanSpawnBurstForResolvedEntry	0x0040c2e0	0x0040c336
0x0040c340	CBattleEngine__RandomizeBurstOffsetsAndAccumulateRange	0x0040c340	0x0040c375
0x0040c380	CBattleEngine__VFunc_117_0040c380	0x0040c380	0x0040c39e
0x0040c3a0	CBattleEngine__IsWeaponOverheated	0x0040c3a0	0x0040c3be
0x0040c3c0	CBattleEngine__GetWeaponAmmoPercentage	0x0040c3c0	0x0040c458
0x0040c460	CBattleEngine__GetWeaponAmmoCount	0x0040c460	0x0040c47e
0x0040c480	CBattleEngine__IsEnergyWeapon	0x0040c480	0x0040c49e
0x0040c4a0	CBattleEngine__GetWeaponCharge	0x0040c4a0	0x0040c544
0x0040c550	CBattleEngine__GetWeaponName	0x0040c550	0x0040c56e
0x0040c570	CBattleEngine__GetWeaponPhysicsName	0x0040c570	0x0040c58e
0x0040c590	CBattleEngine__GetWeaponIconName	0x0040c590	0x0040c5ae
0x0040c5b0	CRepairPadAI__IsWithinRepairBounds	0x0040c5b0	0x0040c5de
0x0040c5e0	CRepairPadAI__HasAnySlotBelowThreshold	0x0040c5e0	0x0040c621
0x0040c630	CDXCompass__GetTrackedPositionY	0x0040c630	0x0040c639
0x0040c640	DebugTrace	0x0040c640	0x0040c640
0x0040c650	CBattleEngine__UpdateConfiguration	0x0040c650	0x0040c710
0x0040c720	CBattleEngine__ResetAndSetActiveReader	0x0040c720	0x0040c745
0x0040c750	CBattleEngine__VFunc_68_0040c750	0x0040c750	0x0040c983
0x0040c990	CBattleEngine__GetLaunchPosition	0x0040c990	0x0040d0ef
0x0040d0f0	CWeaponStatement__UsesBallisticArcNoLocks	0x0040d0f0	0x0040d11c
0x0040d120	Vec3__SubtractToOut	0x0040d120	0x0040d142
0x0040d150	Vec3__ScaleToOut	0x0040d150	0x0040d172
0x0040d180	Vec3__Dot	0x0040d180	0x0040d19a
0x0040d1a0	Vec3__ElevationOrZero	0x0040d1a0	0x0040d1e7
0x0040d1f0	Mat34__SetFromEulerAngles	0x0040d1f0	0x0040d2b2
0x0040d2c0	Mat34__TransformVec3ByBasisToOut	0x0040d2c0	0x0040d310
0x0040d320	Mat34__MultiplyBasisToOut	0x0040d320	0x0040d46f
0x0040d470	CLine__ctor_fromEndpoints	0x0040d470	0x0040d4c8
0x0040d4d0	CBattleEngine__HandleCloak	0x0040d4d0	0x0040d528
0x0040d530	CBattleEngine__VFunc_36_0040d530	0x0040d530	0x0040d5ad
0x0040d5b0	CLockInfo__GetLockPercentage	0x0040d5b0	0x0040d5e2
0x0040d5f0	CBattleEngine__PlayHudSampleByName	0x0040d5f0	0x0040d658
0x0040d660	CBattleEngine__GetInterpolatedEulerOrientation	0x0040d660	0x0040d7ba
0x0040d7c0	CBattleEngine__GetInterpolatedAutoAimPos	0x0040d7c0	0x0040da23
0x0040da30	CBattleEngine__BuildInterpolatedWorldTransform	0x0040da30	0x0040dc2c
0x0040dc30	CBattleEngine__EnableVolumeEntryGroupsByName	0x0040dc30	0x0040dc54
0x0040dc60	CBattleEngine__DisableVolumeEntryGroupsByNameAndReselect	0x0040dc60	0x0040dc84
0x0040dc90	CBattleEngine__CountFlag9CBySelectionMode	0x0040dc90	0x0040dcae
0x0040dcb0	CBattleEngine__SetFlag58CEnabled	0x0040dcb0	0x0040dcba
0x0040dcc0	CBattleEngine__ClearFlag58CAndMorphIfState3	0x0040dcc0	0x0040dcda
0x0040dce0	CBattleEngine__HostileEnvironment	0x0040dce0	0x0040dd90
0x0040dda0	CUnitAI__RefreshGridCooldownFromOccupiedCells	0x0040dda0	0x0040de3e
0x0040de40	CBattleEngine__AugmentWeapon	0x0040de40	0x0040df7b
0x0040df80	CBattleEngine__VFunc_16_0040df80	0x0040df80	0x0040df9b
0x0040dfa0	CBattleEngine__VFunc_48_0040dfa0	0x0040dfa0	0x0040dfa6
0x0040dfb0	CGeneralVolume__SpawnExplosionAndDispatch	0x0040dfb0	0x0040e1a8
0x0040e1b0	CInitThing__CopyFrom	0x0040e1b0	0x0040e274
0x0040e280	CInitThing__LoadFromMemBuffer	0x0040e280	0x0040e7c9
0x0040e7d0	CBattleEngine__VFunc_104_0040e7d0	0x0040e7d0	0x0040e832
0x0040e840	CMonitor__ToggleAttachedObjectFlag300	0x0040e840	0x0040e85d
0x0040e860	CGeneralVolume__OffsetPointByForwardScaled	0x0040e860	0x0040e8df
0x0040e8e0	CBattleEngine__IsNearGroundByTerrainProbe	0x0040e8e0	0x0040e90e
0x0040e910	CBattleEngine__GetGroundedControlFactor	0x0040e910	0x0040e939
0x0040e940	CMonitor__UpdateTrackedList_59C	0x0040e940	0x0040eb47
0x0040eb50	CMonitor__FlushTrackedList_1D4	0x0040eb50	0x0040ebe2
0x0040ebf0	CMonitor__UpdateTrackedList_620	0x0040ebf0	0x0040eeae
0x0040eeb0	CBattleEngine__FinishedPlayingCurrentAnimation	0x0040eeb0	0x0040ef1d
0x0040ef20	CBattleEngine__GroundParticleEffect	0x0040ef20	0x0040f10f
0x0040f110	CEngine__ClampBurstStartTimeFloorNow	0x0040f110	0x0040f134
0x0040f140	BattleEngineConfigurations__ShutDown	0x0040f140	0x0040f173
0x0040f180	BattleEngineConfigurations__Load	0x0040f180	0x0040f251
0x0040f260	BattleEngineConfigurations__Skip	0x0040f260	0x0040f2e9
0x0040f2f0	BattleEngineConfigurations__GetConfiguration	0x0040f2f0	0x0040f3c5
0x0040f3d0	FUN_0040f3d0	0x0040f3d0	0x0040f3ee
0x0040f520	CBattleEngineData__ctor	0x0040f520	0x0040f58e
0x0040f590	CBattleEngineData__Initialise	0x0040f590	0x0040f886
0x0040f890	CBattleEngineData__Shutdown	0x0040f890	0x0040f973
0x0040f980	CBattleEngineData__LoadFromMemBuffer	0x0040f980	0x00410112
0x00410120	FUN_00410120	0x00410120	0x0041013e
0x00410210	CBattleEngineJetPart__ctor	0x00410210	0x00410291
0x004102a0	CBattleEngineJetPart__dtor_base	0x004102a0	0x00410307
0x00410310	CBattleEngineJetPart__Thrust	0x00410310	0x00410482
0x00410490	CBattleEngineJetPart__Turn	0x00410490	0x00410669
0x00410670	CBattleEngineJetPart__Pitch	0x00410670	0x0041073e
0x00410740	CBattleEngineJetPart__YawLeft	0x00410740	0x004109c1
