target_addr	target_name	from_addr	from_function	ref_type
005b86c0	CFastVB__Unk_005b86c0	005a5926	CFastVB__Helper_005a519e	UNCONDITIONAL_CALL
005b86c0	CFastVB__Unk_005b86c0	005a59cb	CFastVB__Helper_005a519e	UNCONDITIONAL_CALL
005b8ca0	CFastVB__Unk_005b8ca0	005a4d59	CFastVB__Helper_005a4d2c	UNCONDITIONAL_CALL
005b8ca0	CFastVB__Unk_005b8ca0	005a5670	CFastVB__Helper_005a519e	UNCONDITIONAL_CALL
005b8ca0	CFastVB__Unk_005b8ca0	005a5ac1	CFastVB__Helper_005a519e	UNCONDITIONAL_CALL
005b8ca0	CFastVB__Unk_005b8ca0	005a7645	CFastVB__Unk_005a7617	UNCONDITIONAL_CALL
005b8ca0	CFastVB__Unk_005b8ca0	005a7657	CFastVB__Unk_005a7617	UNCONDITIONAL_CALL
005b8ca0	CFastVB__Unk_005b8ca0	005a7666	CFastVB__Unk_005a7617	UNCONDITIONAL_CALL
005b8ca0	CFastVB__Unk_005b8ca0	005a7d22	CFastVB__Unk_005a7cf0	UNCONDITIONAL_CALL
005b8ca0	CFastVB__Unk_005b8ca0	005a4c89	<no_function>	UNCONDITIONAL_CALL
005b8ca0	CFastVB__Unk_005b8ca0	005a4c9a	<no_function>	UNCONDITIONAL_CALL
005b8ca0	CFastVB__Unk_005b8ca0	005a4ca9	<no_function>	UNCONDITIONAL_CALL
005b8ca0	CFastVB__Unk_005b8ca0	005a513a	<no_function>	UNCONDITIONAL_CALL
005b8ca0	CFastVB__Unk_005b8ca0	005a60f8	<no_function>	UNCONDITIONAL_CALL
005b8ca0	CFastVB__Unk_005b8ca0	005a615b	<no_function>	UNCONDITIONAL_CALL
005b8ca0	CFastVB__Unk_005b8ca0	005a61b9	<no_function>	UNCONDITIONAL_CALL
005bda5e	CFastVB__Unk_005bda5e	005b1f00	CTexture__Helper_005b1e94	UNCONDITIONAL_CALL
005bda5e	CFastVB__Unk_005bda5e	005b20a6	CTexture__Helper_005b1e94	UNCONDITIONAL_CALL
005bda5e	CFastVB__Unk_005bda5e	005b2574	CTexture__Helper_005b1e94	UNCONDITIONAL_CALL
005bda5e	CFastVB__Unk_005bda5e	005bd466	CDXTexture__Helper_005bcfd3	UNCONDITIONAL_CALL
005bda5e	CFastVB__Unk_005bda5e	005bd316	CDXTexture__Helper_005bcfd3	UNCONDITIONAL_CALL
005bda5e	CFastVB__Unk_005bda5e	005bd3d2	CDXTexture__Helper_005bcfd3	UNCONDITIONAL_CALL
005bda5e	CFastVB__Unk_005bda5e	005bd4c4	CDXTexture__Helper_005bcfd3	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	005006dd	CVBufTexture__ResizeVertexBuffer	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	00502721	CVertexShader__CompileShader	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	00529a4b	CD3DApplication__BuildDeviceList	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	0052b315	CD3DApplication__Initialize3DEnvironment	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	00500a50	CVBufTexture__AddVertices	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	00513538	CEngine__GrabScreenshot	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	00527d40	CVBufTexture__Unk_00527d20	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	00527d6e	CVBufTexture__Unk_00527d20	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	00501076	CVBufTexture__RenderIndexed	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	005462d1	CDXLandscape__SetRenderTarget	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	00546360	CDXLandscape__SetRenderTarget	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	005137ac	CEngine__DeviceCall68_CheckError	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	005521d2	CDXShadows__Init	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	00500bee	CVBufTexture__GetVertexPtr	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	00541917	CDXFrontEndVideo__Render	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	005139d9	CEngine__CreateTextureOrFatal	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	00557f4c	CDXTexture__LoadTextureFromFile_Core	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	005580df	CDXTexture__LoadTextureFromFile_Core	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	00544d41	<no_function>	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	00544d98	<no_function>	UNCONDITIONAL_CALL
005be628	CFastVB__Unk_005be628	00544e8b	<no_function>	UNCONDITIONAL_CALL
