target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
00592d45	CDXTexture__Helper_00592d45	00592d95	00592d7a	CDXTexture__LogChunkTagDiagnostic	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059d6b1	0059d699	CDXTexture__ParsePngChunk_IHDR	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059d6c2	0059d699	CDXTexture__ParsePngChunk_IHDR	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059d734	0059d699	CDXTexture__ParsePngChunk_IHDR	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059d758	0059d699	CDXTexture__ParsePngChunk_IHDR	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059d779	0059d699	CDXTexture__ParsePngChunk_IHDR	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059d7a5	0059d699	CDXTexture__ParsePngChunk_IHDR	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059d7b6	0059d699	CDXTexture__ParsePngChunk_IHDR	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059d7c7	0059d699	CDXTexture__ParsePngChunk_IHDR	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059d7d8	0059d699	CDXTexture__ParsePngChunk_IHDR	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059d8a5	0059d879	CDXTexture__ParsePngChunk_PLTE	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059d8dd	0059d879	CDXTexture__ParsePngChunk_PLTE	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059d9a8	0059d992	CDXTexture__ParsePngChunk_tRNS	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059d9f6	0059d9d8	CDXTexture__ParsePngChunk_gAMA	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059daed	0059dad9	CTexture__Helper_0059dad9	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059dbd5	0059dbbb	CTexture__Helper_0059dbbb	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059dee2	0059dda2	CDXTexture__ProcessIdatChunkDataAndQueueDecode	UNCONDITIONAL_CALL
