address	name	signature
0x0058cabd	CTexture__LogUnexpectedTokenError_0058cabd	void __thiscall CTexture__LogUnexpectedTokenError_0058cabd(void * this, void * param_1, int param_2, void * param_3)
0x0058cc00	CTexture__SkipWhitespaceAndComments	int __fastcall CTexture__SkipWhitespaceAndComments(void * param_1)
0x0058cd30	CTexture__ParseHexIntegerLiteral	int __thiscall CTexture__ParseHexIntegerLiteral(void * this, void * param_1, void * param_2, void * param_3)
0x0058cdd5	CTexture__ParseOctalIntegerLiteral	int __thiscall CTexture__ParseOctalIntegerLiteral(void * this, int param_1, void * param_2, void * param_3)
0x0058ce51	CTexture__ParseDecimalIntegerLiteral	int __thiscall CTexture__ParseDecimalIntegerLiteral(void * this, void * param_1, void * param_2, void * param_3)
0x0058cef2	CTexture__ParseEscapedCharLiteral	int __thiscall CTexture__ParseEscapedCharLiteral(void * this, int param_1, void * param_2, void * param_3)
0x0058d088	CTexture__ParseDottedFormatAndResolveDescriptor_0058d088	char * __thiscall CTexture__ParseDottedFormatAndResolveDescriptor_0058d088(void * this, void * param_1, void * param_2, void * param_3)
0x0058d18b	CTexture__ParseCharLiteralToken	char * __thiscall CTexture__ParseCharLiteralToken(void * this, void * param_1, void * param_2, void * param_3)
0x0058d1ca	CTexture__ParseStringLiteralToken	char * __thiscall CTexture__ParseStringLiteralToken(void * this, void * param_1, void * param_2, void * param_3)
0x0058d2ad	CTexture__ReadNextLexToken	int __thiscall CTexture__ReadNextLexToken(void * this, void * param_1, int param_2, void * param_3)
0x0058d419	CTexture__ParseVertexSemanticUsageToken	int __thiscall CTexture__ParseVertexSemanticUsageToken(void * this, void * param_1, void * param_2, void * param_3, void * param_4)
0x0058d6b4	CTexture__HashIdentifierMod7	uint __stdcall CTexture__HashIdentifierMod7(void * param_1)
0x0058d6f0	CTexture__FindIdentifierInHashTable	int __thiscall CTexture__FindIdentifierInHashTable(void * this, int param_1, int param_2)
0x0058d722	CDXTexture__CollectHashBucketsToArray	void __thiscall CDXTexture__CollectHashBucketsToArray(void * this, int param_1, int param_2)
0x0058d747	CTexture__ResetParserSemanticValue	void __fastcall CTexture__ResetParserSemanticValue(void * param_1)
0x0058d763	CTexture__ReportYaccSyntaxError	void __cdecl CTexture__ReportYaccSyntaxError(void * param_1, void * param_2)
0x0058d821	CTexture__EmitParserMessageBySeverity	int CTexture__EmitParserMessageBySeverity(void)
0x0058d88d	CTexture__NormalizeParserResultOrReport	int __thiscall CTexture__NormalizeParserResultOrReport(void * this, void * param_1, int param_2)
0x0058d8c2	CTexture__ParseShaderSemanticToken	uint __thiscall CTexture__ParseShaderSemanticToken(void * this, int param_1, void * param_2)
0x0058e256	CTexture__ParseChannelMaskStrict	uint __thiscall CTexture__ParseChannelMaskStrict(void * this, void * param_1, int param_2)
0x0058e309	CTexture__ParseSwizzleMask	uint __thiscall CTexture__ParseSwizzleMask(void * this, void * param_1, int param_2)
0x0058e3c3	CTexture__FlushPendingConstantTableWrites	int __thiscall CTexture__FlushPendingConstantTableWrites(void * this, int param_1, int param_2)
0x0058e413	CTexture__EnsurePendingConstantCapacity	int __thiscall CTexture__EnsurePendingConstantCapacity(void * this, int param_1, int param_2)
0x0058e491	CTexture__AppendPendingConstantEntry	int __thiscall CTexture__AppendPendingConstantEntry(void * this, int param_1, int param_2)
0x0058e4b5	CTexture__ValidateInstructionOperandsAndReserveConstantSlots	int __thiscall CTexture__ValidateInstructionOperandsAndReserveConstantSlots(void * this, void * param_1, uint param_2)
0x0058ecdb	CTexture__FinalizeSymbolTablesIntoConstantStream	int __fastcall CTexture__FinalizeSymbolTablesIntoConstantStream(void * param_1)
0x0058eefb	CTexture__ParseDebugChunkAndRelocateBindings	int __fastcall CTexture__ParseDebugChunkAndRelocateBindings(void * param_1)
0x0058f1e0	CTexture__Dtor_ReleaseBindings_DeleteOnFlag	void * __thiscall CTexture__Dtor_ReleaseBindings_DeleteOnFlag(void * this, void * param_1, int param_2)
0x0058f1fc	CDXTexture__ReleaseTexturePointerArray7	void __fastcall CDXTexture__ReleaseTexturePointerArray7(int param_1)
0x0058f219	CTexture__CreateStreamAndWriteConstantTable	int __thiscall CTexture__CreateStreamAndWriteConstantTable(void * this, void * param_1, void * param_2)
0x0058f270	CTexture__InsertSymbolNodeInHashTable	int __thiscall CTexture__InsertSymbolNodeInHashTable(void * this, int param_1, void * param_2, int param_3, int param_4)
0x0058f305	CTexture__InitSymbolHashTables	int __fastcall CTexture__InitSymbolHashTables(void * param_1)
0x0058f331	CTexture__ReleaseSymbolHashTables	void __fastcall CTexture__ReleaseSymbolHashTables(int param_1)
